image_id,class,raw_path,processed_path,source_type,colormap,pixel_to_mm,weld_id,defect_present,label_type,split,orig_h,orig_w,crop_r0,crop_r1,crop_c0,crop_c1,patch_size,mask_path,defect_area_px,defect_area_frac,n_components,mask_empty,used_fallback
porosity__G100_1,porosity,data/raw/porosity/G100_1.jpg,data/processed/porosity/porosity__G100_1.npy,gray,none,1.0,porosity__G100,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G100_1.npy,51,0.000778,4,False,False
porosity__G100_2,porosity,data/raw/porosity/G100_2.jpg,data/processed/porosity/porosity__G100_2.npy,gray,none,1.0,porosity__G100,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G100_2.npy,122,0.001862,3,False,False
porosity__G100_3,porosity,data/raw/porosity/G100_3.jpg,data/processed/porosity/porosity__G100_3.npy,gray,none,1.0,porosity__G100,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G100_3.npy,250,0.003815,5,False,False
porosity__G109_1,porosity,data/raw/porosity/G109_1.jpg,data/processed/porosity/porosity__G109_1.npy,gray,none,1.0,porosity__G109,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G109_1.npy,122,0.001862,4,False,False
porosity__G109_2,porosity,data/raw/porosity/G109_2.jpg,data/processed/porosity/porosity__G109_2.npy,gray,none,1.0,porosity__G109,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G109_2.npy,92,0.001404,2,False,False
porosity__G109_3,porosity,data/raw/porosity/G109_3.jpg,data/processed/porosity/porosity__G109_3.npy,gray,none,1.0,porosity__G109,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G109_3.npy,50,0.000763,2,False,False
porosity__G110_1,porosity,data/raw/porosity/G110_1.jpg,data/processed/porosity/porosity__G110_1.npy,gray,none,1.0,porosity__G110,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G110_1.npy,42,0.000641,4,False,False
porosity__G110_2,porosity,data/raw/porosity/G110_2.jpg,data/processed/porosity/porosity__G110_2.npy,gray,none,1.0,porosity__G110,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G110_2.npy,84,0.001282,2,False,False
porosity__G110_3,porosity,data/raw/porosity/G110_3.jpg,data/processed/porosity/porosity__G110_3.npy,gray,none,1.0,porosity__G110,True,pseudo_pending,test,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G110_3.npy,61,0.000931,1,False,False
porosity__G111_1,porosity,data/raw/porosity/G111_1.jpg,data/processed/porosity/porosity__G111_1.npy,gray,none,1.0,porosity__G111,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G111_1.npy,59,0.0009,2,False,False
porosity__G111_2,porosity,data/raw/porosity/G111_2.jpg,data/processed/porosity/porosity__G111_2.npy,gray,none,1.0,porosity__G111,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G111_2.npy,121,0.001846,3,False,False
porosity__G111_3,porosity,data/raw/porosity/G111_3.jpg,data/processed/porosity/porosity__G111_3.npy,gray,none,1.0,porosity__G111,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G111_3.npy,76,0.00116,3,False,False
porosity__G112_1,porosity,data/raw/porosity/G112_1.jpg,data/processed/porosity/porosity__G112_1.npy,gray,none,1.0,porosity__G112,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G112_1.npy,148,0.002258,9,False,False
porosity__G112_2,porosity,data/raw/porosity/G112_2.jpg,data/processed/porosity/porosity__G112_2.npy,gray,none,1.0,porosity__G112,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G112_2.npy,178,0.002716,3,False,False
porosity__G112_3,porosity,data/raw/porosity/G112_3.jpg,data/processed/porosity/porosity__G112_3.npy,gray,none,1.0,porosity__G112,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G112_3.npy,185,0.002823,5,False,False
porosity__G113_1,porosity,data/raw/porosity/G113_1.jpg,data/processed/porosity/porosity__G113_1.npy,gray,none,1.0,porosity__G113,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G113_1.npy,76,0.00116,5,False,False
porosity__G113_2,porosity,data/raw/porosity/G113_2.jpg,data/processed/porosity/porosity__G113_2.npy,gray,none,1.0,porosity__G113,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G113_2.npy,78,0.00119,3,False,False
porosity__G113_3,porosity,data/raw/porosity/G113_3.jpg,data/processed/porosity/porosity__G113_3.npy,gray,none,1.0,porosity__G113,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G113_3.npy,39,0.000595,2,False,False
porosity__G114_1,porosity,data/raw/porosity/G114_1.jpg,data/processed/porosity/porosity__G114_1.npy,gray,none,1.0,porosity__G114,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G114_1.npy,52,0.000793,4,False,False
porosity__G114_2,porosity,data/raw/porosity/G114_2.jpg,data/processed/porosity/porosity__G114_2.npy,gray,none,1.0,porosity__G114,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G114_2.npy,191,0.002914,6,False,False
porosity__G114_3,porosity,data/raw/porosity/G114_3.jpg,data/processed/porosity/porosity__G114_3.npy,gray,none,1.0,porosity__G114,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G114_3.npy,61,0.000931,2,False,False
porosity__G115_1,porosity,data/raw/porosity/G115_1.jpg,data/processed/porosity/porosity__G115_1.npy,gray,none,1.0,porosity__G115,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G115_1.npy,45,0.000687,3,False,False
porosity__G115_2,porosity,data/raw/porosity/G115_2.jpg,data/processed/porosity/porosity__G115_2.npy,gray,none,1.0,porosity__G115,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G115_2.npy,71,0.001083,2,False,False
porosity__G116_1,porosity,data/raw/porosity/G116_1.jpg,data/processed/porosity/porosity__G116_1.npy,gray,none,1.0,porosity__G116,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G116_1.npy,156,0.00238,2,False,False
porosity__G116_2,porosity,data/raw/porosity/G116_2.jpg,data/processed/porosity/porosity__G116_2.npy,gray,none,1.0,porosity__G116,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G116_2.npy,158,0.002411,2,False,False
porosity__G117_1,porosity,data/raw/porosity/G117_1.jpg,data/processed/porosity/porosity__G117_1.npy,gray,none,1.0,porosity__G117,True,pseudo_pending,train,512,512,40,453,69,460,256,data/processed/masks/porosity/porosity__G117_1.npy,27,0.000412,2,False,False
