image_id,true_class,split,target_class,method,deletion_auc,insertion_auc,pointing_hit,trust_score,attention_maps
porosity__G12,porosity,val,1,grad_cam,0.054,0.9041,1.0,0.95,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G123_1,porosity,val,1,grad_cam,0.0582,0.9373,1.0,0.9597,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G123_2,porosity,val,1,grad_cam,0.0829,0.915,1.0,0.944,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G123_3,porosity,val,1,grad_cam,0.0494,0.9478,1.0,0.9661,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G146_1,porosity,val,1,grad_cam,0.0694,0.9301,1.0,0.9536,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G146_2,porosity,val,1,grad_cam,1.0,1.0,1.0,0.6667,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G146_3,porosity,val,1,grad_cam,0.0476,0.9485,1.0,0.9669,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
porosity__G148_1,porosity,val,1,grad_cam,0.0673,0.9443,1.0,0.959,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS109,slag,val,2,grad_cam,0.0699,0.8772,1.0,0.9358,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS109_2,slag,val,2,grad_cam,0.0476,0.9386,1.0,0.9636,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS109_3,slag,val,2,grad_cam,0.0476,0.9016,1.0,0.9513,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS111,slag,val,2,grad_cam,0.059,0.7138,1.0,0.8849,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS111_1,slag,val,2,grad_cam,0.0477,0.716,1.0,0.8894,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS111_2,slag,val,2,grad_cam,0.0487,0.5158,1.0,0.8224,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS111_3,slag,val,2,grad_cam,0.0489,0.9338,1.0,0.9616,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
slag__GS114,slag,val,2,grad_cam,0.0581,0.6331,1.0,0.8583,"['cbam_fuse1', 'cbam_fuse2', 'cbam_fuse3', 'cbam_fuse4', 'cbam_fuseb', 'gate_up1', 'gate_up2', 'gate_up3', 'gate_up4']"
