image_id,class,method,deletion_auc,insertion_auc,pointing_hit,trust_score
porosity__G12,porosity,Grad-CAM,0.054,0.9041,1.0,0.95
porosity__G12,porosity,Grad-CAM++,0.0476,0.9505,1.0,0.9676
porosity__G12,porosity,LIME,0.0572,0.9393,0.0,0.6274
porosity__G12,porosity,SHAP,0.2981,0.689,0.0,0.4636
porosity__G123_1,porosity,Grad-CAM,0.0582,0.9373,1.0,0.9597
porosity__G123_1,porosity,Grad-CAM++,0.0476,0.9524,1.0,0.9683
porosity__G123_1,porosity,LIME,0.0476,0.9524,0.0,0.6349
porosity__G123_1,porosity,SHAP,0.1855,0.8145,0.0,0.543
porosity__G123_2,porosity,Grad-CAM,0.0829,0.915,1.0,0.944
porosity__G123_2,porosity,Grad-CAM++,0.0476,0.9524,1.0,0.9682
porosity__G123_2,porosity,LIME,0.0476,0.9524,0.0,0.6349
porosity__G123_2,porosity,SHAP,0.1737,0.7999,0.0,0.5421
slag__GS109,slag,Grad-CAM,0.0699,0.8772,1.0,0.9358
slag__GS109,slag,Grad-CAM++,0.0477,0.9502,1.0,0.9675
slag__GS109,slag,LIME,0.0476,0.9499,0.0,0.6341
slag__GS109,slag,SHAP,0.0476,0.9434,0.0,0.6319
slag__GS109_2,slag,Grad-CAM,0.0476,0.9386,1.0,0.9636
slag__GS109_2,slag,Grad-CAM++,0.0476,0.9524,1.0,0.9683
slag__GS109_2,slag,LIME,0.0476,0.9524,0.0,0.6349
slag__GS109_2,slag,SHAP,0.0476,0.9524,0.0,0.6349
slag__GS109_3,slag,Grad-CAM,0.0476,0.9016,1.0,0.9513
slag__GS109_3,slag,Grad-CAM++,0.0476,0.9403,1.0,0.9642
slag__GS109_3,slag,LIME,0.0476,0.9503,0.0,0.6342
slag__GS109_3,slag,SHAP,0.0476,0.927,0.0,0.6265
